Catelog Name,First Product Line,Second Product Line,Part Num,Internal Model,External Model,Min Price,Area Price,Standard Price,Release Status
Time Attendance,Intelligent Building,Access Control,1.0.01.25.11071,DHI-ASA3213G-MW,DHI-ASA3213G-MW,110.0,135.0,160.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11076-0004,DHI-ASI6213J-MW,DHI-ASI6213J-MW,131.534,156.829,192.242,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11076-9001,DHI-ASI6213J-MW,DHI-ASI6213J-MW,130.0,155.0,190.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11078,ASI6213J-MW,ASI6213J-MW,130.0,155.0,190.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11079,ASI6214J-MFW,ASI6214J-MFW,150.0,175.0,200.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11080,ASI7213X-T1,ASI7213X-T1,500.0,600.0,800.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11081,ASI7223X-A-T1,ASI7223X-A-T1,550.0,650.0,900.0,UnReleased
Bracket,Intelligent Building,Access Control,1.0.01.25.11087,ASF072X-T1,ASF072X-T1,45.0,60.0,80.0,Released
AI,Intelligent Building,Access Control,1.0.01.25.11092,DHI-ASI7213Y-V3-T1,DHI-ASI7213Y-V3-T1,400.0,450.0,550.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11093,DHI-ASI7223Y-A-V3-T1,DHI-ASI7223Y-A-V3-T1,450.0,500.0,600.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11117,ASI7213Y-V3-T1,ASI7213Y-V3-T1,400.0,450.0,550.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11118,ASI7223Y-A-V3-T1,ASI7223Y-A-V3-T1,450.0,500.0,600.0,UnReleased
Bracket,Intelligent Building,Access Control,1.0.01.25.11119,ASF172YV3-T1,ASF172YV3-T1,100.0,110.0,120.0,UnReleased
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11121-9001,DHI-ASGB610X-L,DHI-ASGB610X-L,1700.0,2200.0,2950.0,Released
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11123-9001,DHI-ASGB620X-D,DHI-ASGB620X-D,2500.0,3100.0,4000.0,Released
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11125-9001,DHI-ASGB610X-R,DHI-ASGB610X-R,1700.0,2200.0,2950.0,Released
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11127-9001,DHI-ASGB611X-L,DHI-ASGB611X-L,1700.0,2200.0,2950.0,Released
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11129-9001,DHI-ASGB621X-D,DHI-ASGB621X-D,2500.0,3100.0,4000.0,Released
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11131-9001,DHI-ASGB622X-D,DHI-ASGB622X-D,2500.0,3100.0,4000.0,Released
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11133-9001,DHI-ASGB611X-R,DHI-ASGB611X-R,1700.0,2200.0,2950.0,Released
Bracket,Intelligent Building,Access Control,1.0.01.25.11135,ASF072YV3-T1,ASF072YV3-T1,45.0,60.0,80.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11162,ASI7213Y-V3-T0,ASI7213Y-V3-T0,300.0,400.0,550.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11163,DHI-ASI7213YO-V3-T0,DHI-ASI7213YO-V3-T0,200.0,250.0,300.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11164,ASI7213YO-V3-T0,ASI7213YO-V3-T0,200.0,250.0,300.0,UnReleased
Bracket,Intelligent Building,Access Control,1.0.01.25.11180,ASF172YV3-T0,ASF172YV3-T0,68.0,80.0,120.0,UnReleased
Bracket,Intelligent Building,Access Control,1.0.01.25.11181,ASF172YV3/II-T0,ASF172YV3/II-T0,40.0,60.0,80.0,UnReleased
Readers,Intelligent Building,Access Control,1.0.01.25.11183-0011,DHI-ASR2200A,DHI-ASR2200A,13.0,19.0,20.0,Released
Readers,Intelligent Building,Access Control,1.0.01.25.11184-0009,DHI-ASR2200A-D,DHI-ASR2200A-D,13.0,19.0,20.0,Released
Readers,Intelligent Building,Access Control,1.0.01.25.11185,ASR2200A,ASR2200A,13.0,19.0,20.0,UnReleased
Readers,Intelligent Building,Access Control,1.0.01.25.11186,ASR2200A-D,ASR2200A-D,13.0,19.0,20.0,UnReleased
Readers,Intelligent Building,Access Control,1.0.01.25.11187-0012,DHI-ASR2201A,DHI-ASR2201A,17.0,21.0,24.0,Released
Readers,Intelligent Building,Access Control,1.0.01.25.11188-0007,DHI-ASR2201A-D,DHI-ASR2201A-D,17.0,21.0,24.0,Released
Readers,Intelligent Building,Access Control,1.0.01.25.11189,ASR2201A,ASR2201A,17.0,21.0,24.0,UnReleased
Readers,Intelligent Building,Access Control,1.0.01.25.11190,ASR2201A-D,ASR2201A-D,17.0,21.0,24.0,UnReleased
Readers,Intelligent Building,Access Control,1.0.01.25.11193-0007,DHI-ASR2100A,DHI-ASR2100A,12.0,18.0,19.0,Released
Readers,Intelligent Building,Access Control,1.0.01.25.11195,ASR2100A,ASR2100A,12.0,18.0,19.0,UnReleased
Readers,Intelligent Building,Access Control,1.0.01.25.11196,ASR2100A-D,ASR2100A-D,12.0,18.0,19.0,UnReleased
Readers,Intelligent Building,Access Control,1.0.01.25.11198-0015,DHI-ASR2101A,DHI-ASR2101A,17.0,20.0,23.0,Released
Readers,Intelligent Building,Access Control,1.0.01.25.11199-0006,DHI-ASR2101A-D,DHI-ASR2101A-D,17.0,20.0,23.0,Released
Readers,Intelligent Building,Access Control,1.0.01.25.11200,ASR2101A,ASR2101A,17.0,20.0,23.0,UnReleased
Readers,Intelligent Building,Access Control,1.0.01.25.11201,ASR2101A-D,ASR2101A-D,17.0,20.0,23.0,UnReleased
Readers,Intelligent Building,Access Control,1.0.01.25.11204-0010,DHI-ASR2102A,DHI-ASR2102A,38.0,44.0,54.0,Released
Readers,Intelligent Building,Access Control,1.0.01.25.11205-0004,DHI-ASR2102A-D,DHI-ASR2102A-D,38.0,44.0,54.0,Released
Readers,Intelligent Building,Access Control,1.0.01.25.11206,ASR2102A,ASR2102A,38.0,44.0,54.0,UnReleased
Readers,Intelligent Building,Access Control,1.0.01.25.11207,ASR2102A-D,ASR2102A-D,38.0,44.0,54.0,UnReleased
Modules,Intelligent Building,Access Control,1.0.01.25.11209-0014,DHI-ASM101A,DHI-ASM101A,45.0,50.0,60.0,Released
Modules,Intelligent Building,Access Control,1.0.01.25.11210,ASM101A,ASM101A,45.0,50.0,60.0,UnReleased
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11229-9001,DHI-ASGB610K-L,DHI-ASGB610K-L,1350.0,1450.0,1650.0,Released
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11230-9001,DHI-ASGB620K-D,DHI-ASGB620K-D,1900.0,2100.0,2400.0,Released
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11231-9001,DHI-ASGB610K-R,DHI-ASGB610K-R,1350.0,1450.0,1650.0,Released
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11232-9001,DHI-ASGB611K-L,DHI-ASGB611K-L,1350.0,1450.0,1650.0,Released
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11233-9001,DHI-ASGB621K-D,DHI-ASGB621K-D,1900.0,2100.0,2400.0,Released
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11234-9001,DHI-ASGB622K-D,DHI-ASGB622K-D,1900.0,2100.0,2400.0,Released
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11235-9001,DHI-ASGB611K-R,DHI-ASGB611K-R,1350.0,1450.0,1650.0,Released
Readers,Intelligent Building,Access Control,1.0.01.25.11237-9001,DHI-ASR2100A-ME,DHI-ASR2100A-ME,23.0,27.0,31.0,Released
Readers,Intelligent Building,Access Control,1.0.01.25.11238,ASR2100A-ME,ASR2100A-ME,23.0,27.0,31.0,UnReleased
Readers,Intelligent Building,Access Control,1.0.01.25.11240-0012,DHI-ASR2101A-ME,DHI-ASR2101A-ME,28.0,31.0,34.0,Released
Readers,Intelligent Building,Access Control,1.0.01.25.11241,ASR2101A-ME,ASR2101A-ME,28.0,31.0,34.0,UnReleased
Bracket,Intelligent Building,Access Control,1.0.01.25.11262,ASF055,ASF055,27.0,32.0,35.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11274,ASI7213X-V1-T1,ASI7213X-V1-T1,500.0,600.0,800.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11275,ASI7223X-A-V1-T1,ASI7223X-A-V1-T1,550.0,650.0,900.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11283,DHI-ASI7214X-V1,DHI-ASI7214X,310.0,350.0,400.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11285,DHI-ASI7223X-A-V1-T1,DHI-ASI7223X-A-V1-T1,550.0,650.0,900.0,Released
AI,Intelligent Building,Access Control,1.0.01.25.11292,DHI-ASI8213Y-V4,DHI-ASI8213Y-V3,355.0,405.0,499.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11293,DHI-ASI8214Y-V4,DHI-ASI8214Y-V3,425.0,475.0,580.0,UnReleased
AI,Intelligent Building,Access Control,1.0.01.25.11294-9001,DHI-ASI8223Y-A-V4,DHI-ASI8223Y-A-V3,425.0,475.0,580.0,UnReleased
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11303-9001,DHI-ASGY510B-L,DHI-ASGY510B-L,1400.0,1600.0,2000.0,Released
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11304,DHI-ASGY511B-L,DHI-ASGY511B-L,1400.0,1600.0,2000.0,UnReleased
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11304-9001,DHI-ASGY511B-L,DHI-ASGY511B-L,1400.0,1600.0,2000.0,UnReleased
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11305-9001,DHI-ASGY520B-D1,DHI-ASGY520B-D1,2000.0,2300.0,2800.0,Released
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11306,DHI-ASGY520B-D2,DHI-ASGY520B-D2,2000.0,2300.0,2800.0,UnReleased
Turnstiles,Intelligent Building,Pedestrian Turnstile,1.0.01.25.11306-9001,DHI-ASGY520B-D2,DHI-ASGY520B-D2,2000.0,2300.0,2800.0,UnReleased
